Stat_24021806,stat,"(64, 64)","(370, 64)"
No,T,F,M,H,S
00, , , , , 
01, ,O, , , 
02, ,O, , , 
03, ,O, , , 
04, ,O, , , 
05, ,O, , , 
06, ,O, , , 
07, ,O, , , 
08, , , ,O, 
09,O, , , , 
10, ,O, , , 
11, , , , , 
12, ,O, , , 
13, , , ,O, 
14, ,O, , , 
15, ,O,O, , 
16, ,O, , , 
17, , , , , 
18, , , , , 
19, , , , , 
20, , , , , 
21, , , , , 
22, , , , , 
23, , , , , 
24, , , , , 
25, , , , , 
26, , , , , 
27, , , , , 
28, , , , , 
29, , , , , 
30, , , , , 
